LF_Genre,Mapped_YouView_Genre_1,Mapped_YouView_Genre_2
Action/Adventure > African/American,urn:tva:metadata:cs:ContentCS:2010:3.4.6,
Action/Adventure > Comedy,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Action/Adventure > Crime,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Action/Adventure > Epic,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.5
Action/Adventure > Espionage & Spies,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10
Action/Adventure > Family,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Action/Adventure > General,urn:tva:metadata:cs:ContentCS:2010:3.4.6,
Action/Adventure > Historical,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.5
Action/Adventure > Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3
Action/Adventure > Martial Arts,urn:tva:metadata:cs:ContentCS:2010:3.4.6,
Action/Adventure > Romantic,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Action/Adventure > Sci-fi/Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Action/Adventure > Superheroes,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Action/Adventure > Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10
Action/Adventure > War,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.8
Action/Adventure > Westerns,urn:tva:metadata:cs:ContentCS:2010:3.4.6,urn:tva:metadata:cs:ContentCS:2010:3.4.6.9
Adult > Ben Dover,,
Adult > Comedy,,
Adult > Drama,,
Adult > Gay/Lesbian,,
Adult > General,,
Adult > Playboy,,
Adult > Romance,,
Adult > Sex Education,,
Adult > XXX,,
Animated > Anime,urn:tva:metadata:cs:FormatCS:2010:2.3.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Animated > Children,urn:tva:metadata:cs:FormatCS:2010:2.3.3,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1
Animated > Comedy,urn:tva:metadata:cs:FormatCS:2010:2.3.3,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Animated > Disney,urn:tva:metadata:cs:FormatCS:2010:2.3.3,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Animated > Family,urn:tva:metadata:cs:FormatCS:2010:2.3.3,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Animated > Other,urn:tva:metadata:cs:FormatCS:2010:2.3.3,
Animated > Television,urn:tva:metadata:cs:FormatCS:2010:2.3.3,
Bollywood > Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Bollywood > Comedy,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Bollywood > Drama,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,urn:tva:metadata:cs:ContentCS:2010:3.4.10
Bollywood > General,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,
Bollywood > Horror,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6
Bollywood > Romantic,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Bollywood > Thriller,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10
Children > Animated/Cartoon,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,urn:tva:metadata:cs:FormatCS:2010:2.3.3
Children > Comedy,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Children > Disney,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Children > Educational,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,urn:tva:metadata:cs:IntentionCS:2005:1.3
Children > General,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,
Children > Pre-School,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1.4
Children > Sci-Fi/Fantasy,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Children > Television,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1,
Comedy > Action/Adventure,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Comedy > Mature,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.2
Comedy > African/American,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Comedy > Animated,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:FormatCS:2010:2.3.3
Comedy > British,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Comedy > Children,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1
Comedy > Drama,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.4
Comedy > Family,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Comedy > Gay/Lesbian,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Comedy > General,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Comedy > Gross-Out,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Comedy > Horror,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.4.6.6
Comedy > Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3
Comedy > Musical,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.4.10
Comedy > Romantic,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.5.7.2
Comedy > Sci-Fi/Fantasy,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.4.6.7
Comedy > Slapstick,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Comedy > Spoof,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:ContentCS:2010:3.5.7.7
Comedy > Stand-up,urn:tva:metadata:cs:ContentCS:2010:3.5.7,urn:tva:metadata:cs:FormatCS:2010:2.4.4
Comedy > Teen,urn:tva:metadata:cs:ContentCS:2010:3.5.7,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3
Comedy > Television,urn:tva:metadata:cs:ContentCS:2010:3.5.7,
Documentary > Biography,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.7.3
Documentary > Crime,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.3.4
Documentary > Entertainment,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.4
Documentary > General,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.3
Documentary > History,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.5.3
Documentary > Military,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.5.5
Documentary > Nature/Science,urn:tva:metadata:cs:ContentCS:2010:3.1,urn:tva:metadata:cs:ContentCS:2010:3.1.6.2
