"Top Level (Level 1) ID Number","Second Level ID Number","Third Level ID Number","Combination ID (ASSET_CATEGORY_APPLICABLE_TERM ID)","Canvas 1","Canvas 2","Canvas 3","Canvas 4"
100001,,,"C00001","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1",,,
100001,"200001",,"C00002","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.1.3.12",,
100001,"200002",,"C00003","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.5",,
100001,"200003",,"C00004","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.4",,
100001,"200004",,"C00005","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.1",,
100001,"200005",,"C00006","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.6",,
100001,"200006",,"C00007","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.1.1",,
100001,"200007",,"C00008","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1","urn:tva:metadata:cs:ContentCS:2010:3.2",,
100002,,,"C00009",,,,
100002,"200008",,"C00010",,,,
100002,"200009",,"C00011",,,,
100002,"200010",,"C00012",,,,
100002,"200011",,"C00013",,,,
100002,"200012",,"C00014",,,,
100002,"200013",,"C00015",,,,
100002,"200014",,"C00016",,,,
100003,,,"C00017","urn:tva:metadata:cs:ContentCS:2010:3.4",,,
100003,"200015",,"C00018","urn:tva:metadata:cs:ContentCS:2010:3.4.6.1",,,
100003,"200016",,"C00019","urn:tva:metadata:cs:ContentCS:2010:3.4.18",,,
100003,"200017",,"C00020","urn:tva:metadata:cs:ContentCS:2010:3.4.13","urn:tva:metadata:cs:ContentCS:2010:3.4.14",,
100003,"200018",,"C00021","urn:tva:metadata:cs:ContentCS:2010:3.4.6.4",,,
100003,"200021",,"C00024","urn:tva:metadata:cs:ContentCS:2010:3.4.6.5",,,
100003,"200022",,"C00025","urn:tva:metadata:cs:ContentCS:2010:3.4.6.6",,,
100003,"200023",,"C00026","urn:tva:metadata:cs:ContentCS:2010:3.4.4",,,
100003,"200025",,"C00028","urn:tva:metadata:cs:ContentCS:2010:3.4.5",,,
100003,"200026",,"C00029","urn:tva:metadata:cs:ContentCS:2010:3.4.10",,,
100003,"200028",,"C00031","urn:tva:metadata:cs:ContentCS:2010:3.4.20",,,
100003,"200029",,"C00032","urn:tva:metadata:cs:ContentCS:2010:3.4.19",,,
100003,"200030",,"C00033","urn:tva:metadata:cs:ContentCS:2010:3.4.16",,,
100003,"200031",,"C00034","urn:tva:metadata:cs:ContentCS:2010:3.4.3",,,
100003,"200032",,"C00035","urn:tva:metadata:cs:ContentCS:2010:3.4.6.7","urn:tva:metadata:cs:ContentCS:2010:3.4.7",,
100003,"200033",,"C00036","urn:tva:metadata:cs:ContentCS:2010:3.4.2",,,
100003,"200034",,"C00037","urn:tva:metadata:cs:ContentCS:2010:3.4.6.10",,,
100003,"200035",,"C00038","urn:tva:metadata:cs:ContentCS:2010:3.4.6.8","urn:tva:metadata:cs:ContentCS:2010:3.4.6.2",,
100003,"200036",,"C00039","urn:tva:metadata:cs:ContentCS:2010:3.4.6.9",,,
100004,,,"C00040","urn:tva:metadata:cs:IntentionCS:2005:1.3",,,
100004,"200037",,"C00041","urn:tva:metadata:cs:IntentionCS:2005:1.3","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.1.4",,
100004,"200038",,"C00042","urn:tva:metadata:cs:IntentionCS:2005:1.3.1.1",,,
100004,"200039",,"C00043","urn:tva:metadata:cs:IntentionCS:2005:1.3.1.2",,,
100004,"200040",,"C00044","urn:tva:metadata:cs:IntentionCS:2005:1.3.2","urn:tva:metadata:cs:IntendedAudienceCS:2010:4.2.2",,
100005,,,"C00045","urn:tva:metadata:cs:ContentCS:2010:3.1",,,
100005,"200041",,"C00046","urn:tva:metadata:cs:ContentCS:2010:3.1.4","urn:tva:metadata:cs:ContentCS:2010:3.1.10",,
100005,"200042",,"C00047","urn:tva:metadata:cs:ContentCS:2010:3.1.6.3",,,
100005,"200043",,"C00048","urn:tva:metadata:cs:ContentCS:2010:3.8.5.10",,,
100005,"200044",,"C00049","urn:tva:metadata:cs:ContentCS:2010:3.8.7.6","urn:tva:metadata:cs:ContentCS:2010:3.8.7.3",,
100005,"200045",,"C00050","urn:tva:metadata:cs:ContentCS:2010:3.1.7.3",,,
100005,"200046",,"C00051","urn:tva:metadata:cs:ContentCS:2010:3.1.3.5",,,
100005,"200047",,"C00052","urn:tva:metadata:cs:ContentCS:2010:3.8.6",,,
100005,"200048",,"C00053",,,,
